Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RP-1418_BEG_1111-1	0.938289	22345	0.0155237	92.77	59678879.0	62.22223685193046	50.0	101.0	9.090909090909092	143603981.0
RP-1418_BEG_1435-01	0.947801	20849	0.0110839	92.68	60539696.0	60.53281290697037	51.0	101.0	9.090909090909092	147734624.0
RP-1512_HK060-0154	0.92709	20955	0.0337197	92.39	53114902.0	78.5305882559307	50.0	101.0	9.090909090909092	125025163.0
RP-1903_HK-006	0.951622	21917	0.00271343	94.71	112873531.0	50.28493975269611	49.0	101.0	9.090909090909092	258648407.0
RP-1903_HK-010	0.948596	21549	0.00256468	94.91	93607596.0	45.088963188009956	48.0	101.0	0.0	212993113.0
RP-1903_HK-015	0.950903	21665	0.00157556	94.51	96738120.0	46.320767191981126	49.0	101.0	0.0	224325562.0
RP-1903_HK-022	0.947638	22019	0.00333842	94.95	105496087.0	46.67034699474388	47.0	101.0	0.0	239983106.0
RP-1903_HK-025	0.918535	23304	0.00574803	94.18	121379717.0	63.37789987024429	49.0	101.0	9.090909090909092	274614633.0
RP-1903_HK-032	0.94557	22767	0.00284264	94.44	127105243.0	50.21422278170532	48.0	101.0	9.090909090909092	290206561.0
RP-1903_HK-035	0.951754	22125	0.00315331	94.87	121211158.0	49.76004529161669	48.0	101.0	0.0	275029343.0
RP-1903_HK-047	0.950101	21524	0.00214886	94.6	98902817.0	48.13490464687332	49.0	101.0	0.0	227456986.0
RP-1903_HK-061	0.953172	20717	0.00213694	94.79	77624240.0	43.05347376766366	48.0	101.0	0.0	177558440.0
RP-1903_HK-070	0.94309	20180	0.00329281	93.86	48957541.0	42.27138049293625	50.0	101.0	0.0	118086691.0
RP-1903_HK-071-001	0.947668	22074	0.0033245	93.11	147134877.0	48.72303952893514	50.0	101.0	0.0	357645328.0
RP-1903_HK-071-004	0.947012	19383	0.00354706	93.97	43149605.0	42.98548316330268	50.0	101.0	0.0	102851614.0
RP-1903_HK-073	0.951375	22262	0.00343842	94.85	117976887.0	48.56101249862503	48.0	101.0	0.0	270005716.0
RP-1903_HK-075	0.94903	21918	0.00187855	94.53	109973609.0	46.16404358892831	48.0	101.0	0.0	251978506.0
RP-1903_HK-081	0.952368	21613	0.00226959	94.7	113596761.0	49.334696722044114	49.0	101.0	0.0	261630471.0
RP-1903_HK-085	0.954186	22206	0.00205343	94.28	130716259.0	49.88053701691547	48.0	101.0	0.0	300803754.0
RP-1903_HK-087	0.952096	21887	0.00429122	94.07	115375129.0	52.982935962550386	49.0	101.0	9.090909090909092	264845347.0
RP-1903_HK-095	0.931961	22385	0.0154622	93.13	111797567.0	75.26423524631632	49.0	101.0	9.090909090909092	258629071.0
RP-1903_HK-100	0.928955	22217	0.00470331	93.44	129163706.0	58.97926846474565	49.0	101.0	9.090909090909092	301121314.0
RP-1903_HK-104	0.953384	21352	0.00226559	93.88	99555343.0	46.12030859940509	49.0	101.0	0.0	235347925.0
RP-1903_HK-107	0.945766	22540	0.00365523	94.88	107974351.0	50.36376762000397	48.0	101.0	9.090909090909092	247059676.0
RP-1903_HK-108	0.942605	22486	0.00276755	94.7	117758839.0	48.48878328263216	48.0	101.0	0.0	269520148.0
RP-1903_HK-114	0.942104	19816	0.00196923	94.15	44569143.0	37.70265493001034	49.0	101.0	0.0	107509053.0
RP-1903_HK-115	0.947088	22645	0.0030706	94.7	118489849.0	50.09102892667017	48.0	101.0	9.090909090909092	270058817.0
RP-1903_HK-116	0.950103	21762	0.0026389	94.38	97302653.0	49.29637156528225	48.0	101.0	0.0	222595584.0
RP-1903_HK-119	0.95466	22026	0.00188166	94.63	106348018.0	45.92381822866918	49.0	101.0	0.0	245810287.0
RP-1903_HK-124	0.950842	22201	0.00240184	94.76	120806565.0	47.95058346949005	48.0	101.0	0.0	276733640.0
RP-1903_HK-126	0.948218	22857	0.00180786	95.08	138073000.0	49.903406831786725	48.0	101.0	0.0	312339782.0
RP-1903_HK-127	0.951476	21871	0.0035507	95.08	106338498.0	48.07765959439559	47.0	101.0	0.0	240182789.0
RP-1903_HK-131	0.945597	21958	0.00338751	94.91	102589571.0	49.66458836818087	48.0	101.0	0.0	235208631.0
RP-1903_HK-133	0.946385	19381	0.0027255	94.0	37920481.0	38.738667477399204	51.0	101.0	0.0	90358741.0
RP-1903_HK-134	0.902172	22308	0.00662089	94.53	114976083.0	57.15322314335077	48.0	101.0	9.090909090909092	262763597.0
RP-1903_HK-139	0.953797	20838	0.00322921	94.88	69711508.0	42.42263219490538	49.0	101.0	0.0	158752103.0
RP-2034_RGP_552_3	0.899782	20394	0.0253069	89.3	48936810.0	84.96809128564503	50.0	101.0	9.090909090909092	134199715.0
RP-2034_RGP_554_3	0.819356	22719	0.00385463	86.8	67731555.0	74.98156101100662	51.0	101.0	9.090909090909092	203582993.0
